,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
11757,33.010049,-97.200795,https://www.realtor.com/realestateandhomes-detail/2411-Strathfield-Ln_Roanoke_TX_76262_M70320-25023,Trophy Club,TX,76262.0,Pending,Single Family Home,Traditional,589900.0,5.0,4.0,0.0,3766.0,0.25,23.0,2010.0,553004.3697578877,36895.630242112326
11760,33.057607,-97.098996,https://www.realtor.com/realestateandhomes-detail/5213-Marshall-Crk_Flower-Mound_TX_75028_M85599-31539,Flower Mound,TX,75028.0,Active Option Contract,Single Family Home,Traditional,460000.0,4.0,3.0,1.0,3156.0,0.21600091827364554,5.0,2000.0,390509.88995456055,69490.11004543945
11764,33.202731,-96.94760699999999,https://www.realtor.com/realestateandhomes-detail/925-Lake-Woodland-Dr_Little-Elm_TX_75068_M73132-46511,Little Elm,TX,75068.0,Active,Single Family Home,Traditional,243900.0,3.0,2.0,0.0,1684.0,0.12601010101010102,13.0,2015.0,410974.0714389867,-167074.0714389867
11767,33.282340999999995,-96.994712,https://www.realtor.com/realestateandhomes-detail/601-Squires-Ln_Aubrey_TX_76227_M85934-64284,Krugerville,TX,76227.0,Active,Single Family Home,nan,269900.0,3.0,2.0,0.0,1473.0,1.61,10.0,1980.0,245719.87284204786,24180.12715795214
11768,33.191801,-96.928554,https://www.realtor.com/realestateandhomes-detail/2220-Miramar-Dr_Little-Elm_TX_75068_M81044-39338,Little Elm,TX,75068.0,Active,Single Family Home,nan,239990.0,3.0,2.0,0.0,1585.0,0.0929981634527089,6.0,2018.0,424255.6460871975,-184265.64608719753
11770,33.047569,-97.04117600000001,https://www.realtor.com/realestateandhomes-detail/1810-Tiburon-Bnd_Lewisville_TX_75067_M72842-51714,Lewisville,TX,75067.0,Active,Single Family Home,Traditional,259900.0,3.0,2.0,0.0,1713.0,0.18000459136822775,10.0,1983.0,313743.9452329355,-53843.94523293548
11771,33.223193,-97.137754,https://www.realtor.com/realestateandhomes-detail/912-Coit-St_Denton_TX_76201_M87335-56409,Denton,TX,76201.0,Active Option Contract,Single Family Home,nan,265000.0,4.0,2.0,0.0,1915.0,0.18000459136822775,10.0,1949.0,286940.06947335793,-21940.06947335793
11772,33.129083,-97.185085,https://www.realtor.com/realestateandhomes-detail/111-Crooked-Cv_Argyle_TX_76226_M77021-20627,Argyle,TX,76226.0,Active,Single Family Home,Traditional,450000.0,4.0,4.0,0.0,3031.0,0.33,10.0,2006.0,524796.1296657805,-74796.12966578046
11773,33.104324,-96.842299,https://www.realtor.com/realestateandhomes-detail/1-Savannah-Ct_Frisco_TX_75034_M76770-13715,Frisco,TX,75034.0,Active,Single Family Home,Mediterranean,769900.0,3.0,3.0,1.0,4020.0,0.31,10.0,1998.0,955941.5767836669,-186041.57678366685
11774,33.119859000000005,-96.846549,https://www.realtor.com/realestateandhomes-detail/4758-Newcastle-Dr_Frisco_TX_75034_M79889-58696,Frisco,TX,75034.0,Active,Single Family Home,Traditional,535000.0,4.0,3.0,1.0,3658.0,0.24,10.0,2003.0,619774.4005786453,-84774.40057864529
11775,33.091215000000005,-97.302603,https://www.realtor.com/realestateandhomes-detail/703-S-Hardeman-Cir_Justin_TX_76247_M71693-65888,Justin,TX,76247.0,Active Option Contract,Single Family Home,Traditional,359000.0,3.0,2.0,0.0,1907.0,0.98,10.0,1993.0,273897.71920449653,85102.28079550347
11776,33.227056,-96.915164,https://www.realtor.com/realestateandhomes-detail/1409-Isabella-Ln_Savannah_TX_76227_M83785-59756,Savannah,TX,76227.0,Active,Single Family Home,Traditional,327900.0,3.0,2.0,1.0,2465.0,0.14699265381083562,10.0,2012.0,336714.7900479568,-8814.790047956805
11777,33.081465,-97.305412,https://www.realtor.com/realestateandhomes-detail/Hilltop-Dr_Justin_TX_76247_M89753-60892,Justin,TX,76247.0,Active,Single Family Home,Traditional,289900.0,3.0,2.0,0.0,2265.0,0.16701101928374656,10.0,2016.0,347100.6975523796,-57200.69755237963
11778,33.202408,-96.950649,https://www.realtor.com/realestateandhomes-detail/808-Lake-Woodland-Dr_Little-Elm_TX_75068_M75131-46101,Little Elm,TX,75068.0,Active Option Contract,Single Family Home,Traditional,234850.0,3.0,2.0,0.0,1684.0,0.12699724517906336,10.0,2015.0,403375.16162718635,-168525.16162718635
11779,32.99921,-96.978695,https://www.realtor.com/realestateandhomes-detail/2662-Chambers-Dr_Lewisville_TX_75067_M84420-96567,Lewisville,TX,75067.0,Active,Condo/Townhome/Row Home/Co-Op,Traditional,315000.0,3.0,3.0,1.0,2680.0,0.05500459136822773,10.0,2008.0,648612.2959541306,-333612.2959541306
11781,33.29439,-97.16925,https://www.realtor.com/realestateandhomes-detail/6096-Milam-Rdg_Sanger_TX_76266_M78054-82472,Sanger,TX,76266.0,Active,Single Family Home,Traditional,659900.0,6.0,4.0,1.0,4843.0,3.01,12.0,2014.0,1289510.5423277305,-629610.5423277305
